ISSID,Municipality_metro,TownCity_Name,Coordinates,Start_Date,End_Date
332,North West - Rustenburg,Rustenburg,"-25.646542,27.200626",07/26/2013 12:00:00 AM,07/26/2013 12:00:00 AM
333,Eastern Cape - Nelson Mandela Bay,Port Elizabeth,"-31.602189,28.750526",07/26/2013 12:00:00 AM,07/26/2013 12:00:00 AM
318,Gauteng - City of Tshwane,Pretoria,"-25.759686,28.263282",07/27/2013 12:00:00 AM,07/27/2013 12:00:00 AM
327,Gauteng - City of Johannesburg,Johannesburg,"-26.192402,28.056561",07/27/2013 12:00:00 AM,07/27/2013 12:00:00 AM
358,Gauteng - City of Johannesburg,Johannesburg,"-26.20255,28.031289",07/27/2013 12:00:00 AM,07/27/2013 12:00:00 AM
351,Western Cape - City of Cape Town,Cape Town,"-34.026014,18.688173",07/28/2013 12:00:00 AM,07/29/2013 12:00:00 AM
326,Western Cape - City of Cape Town,Cape Town,"-33.932549,18.437263",07/29/2013 12:00:00 AM,07/29/2013 12:00:00 AM
329,Limpopo - Greater Sekhukhune,Jane Furse,"-24.762471,29.867625",07/29/2013 12:00:00 AM,07/29/2013 12:00:00 AM
330,Western Cape - City of Cape Town,Cape Town,"-33.922584,18.41801",07/29/2013 12:00:00 AM,07/29/2013 12:00:00 AM
360,Limpopo - Capricorn,Polokwane,"-23.904256,29.424321",07/29/2013 12:00:00 AM,07/29/2013 12:00:00 AM
361,Gauteng - City of Johannesburg,Sandton,"-26.104587,28.060336",07/30/2013 12:00:00 AM,07/30/2013 12:00:00 AM
376,KwaZulu Natal - eThekwini,Durban,"-28.680498,29.074464",07/30/2013 12:00:00 AM,07/30/2013 12:00:00 AM
495,Western Cape - City of Cape Town,Cape Town,"-34.066667,18.674083",07/30/2013 12:00:00 AM,07/30/2013 12:00:00 AM
356,Mpumalanga - Steve Tshwete,Middleburg,"-26.233137,28.80007",07/31/2013 12:00:00 AM,07/31/2013 12:00:00 AM
357,Gauteng - City of Johannesburg,Johannesburg,"-26.311882,27.647926",07/31/2013 12:00:00 AM,07/31/2013 12:00:00 AM
379,Gauteng - City of Johannesburg,Johannesburg,"-26.206219,28.04074",08/01/2013 00:00,08/01/2013 00:00
381,Limpopo - Mogalakwena,Mokopane,"-24.162092,29.008289",08/01/2013 00:00,08/01/2013 00:00
383,KwaZulu Natal - eThekwini,Durban,"-29.954618,30.94048",08/01/2013 00:00,08/01/2013 00:00
384,KwaZulu Natal - UMgungundlovu,Pietermaritzburg,"-29.595987,30.373534",08/01/2013 00:00,08/01/2013 00:00
378,Gauteng - City of Johannesburg,Johannesburg,"-26.111396,28.112649",08/02/2013 00:00,08/02/2013 00:00
382,Gauteng - City of Tshwane,Pretoria,"-25.745547,28.205176",08/02/2013 00:00,08/02/2013 00:00
369,North West - Rustenburg,Rustenburg,"-25.642623,27.285863",08/03/2013 00:00,08/03/2013 00:00
375,Western Cape - City of Cape Town,Cape Town,"-33.983639,18.555377",08/03/2013 00:00,08/03/2013 00:00
682,North West - Rustenburg,Rustenburg,"-25.6426,27.285885",08/03/2013 00:00,08/03/2013 00:00
362,Gauteng - Merafong City,Johannesburg,"-26.489772,27.495143",08/04/2013 00:00,08/04/2013 00:00
364,Western Cape - City of Cape Town,Cape Town,"-34.029158,18.66375",08/05/2013 00:00,08/05/2013 00:00
365,KwaZulu Natal - eThekwini,Durban,"-30.742302,30.453314",08/05/2013 00:00,08/05/2013 00:00
366,Gauteng - West Rand,West Rand,"-26.180192,27.70183",08/05/2013 00:00,08/05/2013 00:00
368,Western Cape - City of Cape Town,Cape Town,"-33.92403,18.418725",08/05/2013 00:00,08/05/2013 00:00
388,Northern Cape - Sol Plaatjie,Kimberley,"-28.74428,24.767558",08/05/2013 00:00,08/05/2013 00:00
389,Gauteng - Ekurhuleni,Germiston,"-26.213389,28.147572",08/05/2013 00:00,08/05/2013 00:00
367,Gauteng - City of Johannesburg,Johannesburg,"-26.207492,28.036334",08/06/2013 00:00,08/06/2013 00:00
387,Gauteng - Ekurhuleni,Alberton,"-26.327711,28.149672",08/06/2013 00:00,08/06/2013 00:00
371,Eastern Cape - Nelson Mandela Bay,Port Elizabeth,"-33.897443,25.580071",08/07/2013 00:00,08/07/2013 00:00
372,KwaZulu Natal - eThekwini,Durban,"-30.920196,30.253604",08/07/2013 00:00,08/07/2013 00:00
374,Western Cape - City of Cape Town,Cape Town,"-33.927018,18.416021",08/07/2013 00:00,08/07/2013 00:00
363,Gauteng - City of Johannesburg,Johannesburg,"-26.287398,27.839833",08/08/2013 00:00,08/10/2013 00:00
373,Eastern Cape - Alfred Nzo,Mount Ayliff,"-30.80893,29.366879",08/08/2013 00:00,08/08/2013 00:00
396,Gauteng - City of Tshwane,Pretoria,"-25.628587,28.085668",08/08/2013 00:00,08/08/2013 00:00
370,Western Cape - City of Cape Town,Cape Town,"-34.038978,18.678555",08/10/2013 00:00,08/10/2013 00:00
401,Eastern Cape - Buffalo City,East London,"-33.008759,27.901247",08/10/2013 00:00,08/10/2013 00:00
391,Northern Cape - Sol Plaatjie,Kimberley,"-28.332359,24.712954",08/11/2013 00:00,08/11/2013 00:00
402,Limpopo - Vhembe,Makhado,"-23.1567,30.189864",08/11/2013 00:00,08/12/2013 00:00
